Number or species;S0 Promotor Range;S0 Promotor Influence;S0 Demotor Range;S0 Demotor Influence;S1 Promotor Range;S1 Promotor Influence;S1 Demotor Range;S1 Demotor Influence;Number of iterations;Simulation time;OP iter 0;OP iter 1;OP iter 2;OP iter 3;OP iter 4;OP iter 5;OP iter 6;OP iter 7;OP iter 8;OP iter 9;OP iter 10;OP iter 11;OP iter 12;OP iter 13;OP iter 14;OP iter 15;OP iter 16;OP iter 17;OP iter 18;OP iter 19;OP iter 20;OP iter 21;OP iter 22;OP iter 23;OP iter 24;OP iter 25;OP iter 26;OP iter 27;OP iter 28;OP iter 29;OP iter 30;OP iter 31;OP iter 32;OP iter 33;OP iter 34;OP iter 35;OP iter 36;OP iter 37;OP iter 38;OP iter 39;OP iter 40;OP iter 41;OP iter 42;OP iter 43;OP iter 44;OP iter 45;OP iter 46;OP iter 47;OP iter 48;OP iter 49;
2;3.2;0.5;6;-0.20000003;3.2;1;6;-0.2;50;3.026112;0.0003520092;0.6528564;0.73466396;0.7488694;0.75312895;0.7554297;0.75676376;0.7578501;0.758641;0.7593122;0.7598161;0.7601273;0.7602952;0.76041496;0.7604549;0.76054263;0.7605506;0.76055866;0.7605587;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;0.76056665;
2;3.2;0.5;6;-0.19000003;3.2;1;6;-0.2;50;3.0279205;-0.0023040238;0.65424144;0.7330695;0.74682266;0.7516962;0.754636;0.75630444;0.75731194;0.7578631;0.7583428;0.75878227;0.7590064;0.75922227;0.75935847;0.7593824;0.7593985;0.7594225;0.7594385;0.7594304;0.75942236;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;0.7594223;
2;3.2;0.5;6;-0.18000002;3.2;1;6;-0.2;50;3.015416;-0.00293604;0.65663785;0.7334415;0.7479058;0.7524734;0.7551191;0.7566601;0.7577715;0.7585224;0.75921744;0.7596103;0.76003426;0.760306;0.76041;0.76050586;0.7605539;0.76063395;0.76066583;0.76067376;0.7606738;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;0.76068175;
2;3.2;0.5;6;-0.17000002;3.2;1;6;-0.2;50;3.117706;-0.00078804104;0.6527927;0.72989786;0.7453087;0.7506385;0.7536039;0.75540847;0.7565273;0.7571594;0.75758314;0.7578075;0.75795895;0.75805485;0.7581429;0.75821453;0.7582785;0.75829434;0.7583184;0.7583345;0.75834244;0.7583423;0.75834244;0.75834244;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;0.7583424;
2;3.2;0.5;6;-0.16000001;3.2;1;6;-0.2;50;3.2495022;0.0024119783;0.6552181;0.73452336;0.74810374;0.7527057;0.7552152;0.7567094;0.7577249;0.7583165;0.7587162;0.7590612;0.759309;0.75944525;0.75950944;0.75961375;0.7597176;0.75973326;0.7597572;0.7597653;0.75978124;0.7597893;0.7597814;0.75977343;0.7597813;0.7597733;0.75978136;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;0.7597894;
2;3.2;0.5;6;-0.15;3.2;1;6;-0.2;50;3.3398786;0.00075997796;0.6577037;0.7328877;0.7475395;0.7532896;0.75592065;0.75763285;0.75894004;0.7597155;0.7601438;0.7606599;0.7607603;0.76061547;0.7606319;0.76079684;0.76088536;0.76096374;0.761308;0.7616306;0.7617299;0.76212996;0.762322;0.7623702;0.76233405;0.7623139;0.7624189;0.7625108;0.76263916;0.76289296;0.7628353;0.7630972;0.76324236;0.76308095;0.7627503;0.76262635;0.7623713;0.76241124;0.7626447;0.76229125;0.76178896;0.7615397;0.7617564;0.7613855;0.76071805;0.7595505;0.7591276;0.75911516;0.75839984;0.75759524;0.7566538;0.75576437;
2;3.2;0.5;6;-0.14;3.2;1;6;-0.2;50;3.5133557;-0.00029998983;0.65780514;0.7274698;0.75199926;0.75999624;0.7636783;0.76506484;0.7655927;0.7650275;0.7636957;0.7619508;0.7604778;0.7591075;0.75748825;0.7554048;0.7537256;0.75139904;0.74865514;0.74562967;0.74315;0.74007815;0.73825544;0.7364561;0.73448664;0.7334181;0.7323425;0.7317347;0.7318372;0.7317936;0.7319615;0.7316471;0.73216695;0.73220944;0.73207676;0.73241824;0.7322685;0.73269355;0.73258877;0.73287153;0.7330543;0.7332945;0.7333241;0.73331636;0.7333999;0.7335645;0.73325247;0.7333492;0.733298;0.7332419;0.73323035;0.7333666;
2;3.2;0.5;6;-0.13;3.2;1;6;-0.2;50;3.667932;-0.0012600315;0.64492303;0.705796;0.7343484;0.73641825;0.7360537;0.7346314;0.7328058;0.7314043;0.7298585;0.7286882;0.7275954;0.7268153;0.72663283;0.72663903;0.72642285;0.7269369;0.7267876;0.72708535;0.72755647;0.7279543;0.7282044;0.728267;0.728428;0.72862804;0.72900337;0.7288447;0.7290506;0.72914153;0.7293599;0.72906387;0.7297564;0.7302071;0.7303223;0.7306682;0.73090136;0.7310852;0.7312005;0.73136795;0.7315675;0.73161423;0.7315549;0.7315016;0.73172987;0.7318451;0.7318707;0.7319259;0.7319838;0.73199034;0.732159;0.7322076;
2;3.2;0.5;6;-0.12;3.2;1;6;-0.2;50;3.7848434;-0.000004012866;0.6170911;0.6652425;0.70056784;0.71010506;0.7145866;0.7177625;0.720576;0.7229514;0.7246328;0.72552615;0.7264105;0.72725284;0.72809154;0.72866017;0.7287157;0.72975755;0.7303283;0.7304686;0.73085797;0.7312842;0.73154056;0.7318241;0.7318723;0.73213744;0.73240465;0.73273385;0.7328416;0.73345387;0.73362225;0.7340015;0.7342542;0.73437166;0.73440343;0.73465586;0.7345834;0.73457897;0.73459023;0.73469925;0.73454726;0.7346166;0.7346128;0.7347576;0.73465294;0.73468125;0.7345449;0.7345531;0.7346087;0.7346851;0.7346328;0.7348209;
2;3.2;0.5;6;-0.11;3.2;1;6;-0.2;50;3.820614;0.001971966;0.52426237;0.6680003;0.6960603;0.70709306;0.7135175;0.71855927;0.72160804;0.7241784;0.72644997;0.72795326;0.7292131;0.7302973;0.73138046;0.7316166;0.73287076;0.7336623;0.73412305;0.7347509;0.73527765;0.73597527;0.7362876;0.73691565;0.7370785;0.73738104;0.7377452;0.7380731;0.7381929;0.738474;0.73848313;0.73884726;0.738886;0.73915124;0.739527;0.73958844;0.73967147;0.7399566;0.73981595;0.7398952;0.7402157;0.74038786;0.7404794;0.7406838;0.7407603;0.7408399;0.74072325;0.74091977;0.7409518;0.74110776;0.7409565;0.74088484;
2;3.2;0.5;6;-0.1;3.2;1;6;-0.2;50;3.8910627;0.0003359748;0.4249683;0.6717764;0.7071046;0.7207671;0.7283823;0.7334076;0.7365769;0.73919487;0.7416999;0.74309784;0.7447444;0.74677217;0.748382;0.74951977;0.7499632;0.7506234;0.75156873;0.7516249;0.75196034;0.75240076;0.7528805;0.75321686;0.7532096;0.75323355;0.75358903;0.7541023;0.7545006;0.75440884;0.75470173;0.7547533;0.75511813;0.755662;0.7559108;0.7559784;0.75596696;0.7558908;0.7563332;0.7566651;0.7569294;0.75667703;0.7573925;0.757233;0.75747746;0.7575583;0.7573492;0.7573889;0.7575087;0.7576878;0.75774455;0.7578112;
2;3.2;0.51;6;-0.3;3.2;1;6;-0.2;50;3.888209;0.00073995395;0.65385747;0.732971;0.74751943;0.75204206;0.75418353;0.75551665;0.75639534;0.75720346;0.7576025;0.7580653;0.7583368;0.75848866;0.7586166;0.7587206;0.7587446;0.7587766;0.75880045;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;0.75880843;
2;3.2;0.51;6;-0.29000002;3.2;1;6;-0.2;50;3.9550917;-0.0024560315;0.65756124;0.7325686;0.74675345;0.7516695;0.75412303;0.75574684;0.756938;0.7577616;0.75847304;0.75907236;0.75927985;0.759423;0.7595106;0.7597023;0.75982195;0.75987786;0.7599417;0.7599977;0.7600296;0.7600778;0.7601258;0.7601418;0.76014966;0.7601577;0.76019764;0.76021373;0.7602297;0.7602297;0.7602297;0.7602297;0.7602297;0.7602297;0.7602297;0.7602297;0.7602297;0.7602297;0.7602297;0.7602297;0.7602297;0.7602297;0.7602297;0.7602297;0.7602297;0.7602297;0.7602297;0.7602297;0.7602297;0.7602297;0.7602297;0.7602297;
